neighborhood_id,neighborhood,latitude,longitude
213,78704,30.25803,-97.76974
214,78704,30.24654,-97.74713
215,78704,30.24187,-97.77914
216,78734,30.3999,-97.91374
217,78704,30.24103,-97.76325
218,78754,30.33652,-97.65128
219,78702,30.26715,-97.72527
220,78741,30.24538,-97.72945
221,78723,30.29409,-97.704
222,78702,30.25267,-97.72465
223,78722,30.30148,-97.71339
224,78746,30.29727,-97.7892
225,78704,30.24039,-97.74363
226,78744,30.19554,-97.69451
227,78704,30.238,-97.76486
228,78702,30.25275,-97.72917
229,78702,30.27221,-97.72846
230,78737,30.22242,-97.91042
231,78738,30.32518,-97.97659
232,78745,30.18722,-97.78813
233,78759,30.41276,-97.72443
234,78751,30.31197,-97.72955
235,78744,30.19538,-97.69632
236,78704,30.25909,-97.77017
237,78703,30.28026,-97.75703
238,78702,30.2702,-97.72862
239,78757,30.36084,-97.72593
240,78701,30.26836,-97.74724
241,78704,30.24852,-97.78277
242,78703,30.27805,-97.75752
243,78703,30.29624,-97.77349
244,78745,30.21366,-97.81559
245,78756,30.32255,-97.73869
246,78745,30.22437,-97.78495
247,78741,30.23746,-97.7099
248,78704,30.24369,-97.74169
249,78704,30.24293,-97.76155
250,78704,30.24784,-97.76318
251,78752,30.32713,-97.68127
252,78704,30.2359,-97.76422
253,78704,30.23457,-97.7615
254,78701,30.27485,-97.7486
255,78751,30.30263,-97.7293
256,78704,30.25551,-97.7741
257,78704,30.2402,-97.77623
258,78726,30.44262,-97.82678
259,78704,30.24565,-97.77877
260,78704,30.25222,-97.7704
261,78702,30.26379,-97.72015
262,78701,30.26986,-97.7485
263,78756,30.33229,-97.74462
264,78704,30.24997,-97.77983
265,78702,30.27787,-97.71919
266,78731,30.32095,-97.75126
267,78702,30.27188,-97.72466
268,78704,30.24563,-97.7484
269,78702,30.25233,-97.72403
270,78704,30.25259,-97.78249
271,78704,30.24539,-97.7478
272,78702,30.25264,-97.72013
273,78704,30.23419,-97.75288
274,78702,30.28209,-97.70628
275,78723,30.2917,-97.70521
276,78702,30.25878,-97.7233
277,78704,30.26227,-97.76355
278,78702,30.26582,-97.71609
279,78702,30.25526,-97.73167
280,78757,30.3614,-97.71967
281,78701,30.26584,-97.73999
282,78704,30.23656,-97.77935
283,78753,30.39562,-97.66868
284,78702,30.25419,-97.70856
285,78753,30.37784,-97.68606
286,78749,30.22547,-97.86482
287,78704,30.23581,-97.78312
288,78704,30.24605,-97.74351
289,78703,30.27887,-97.75649
290,78704,30.24285,-97.7388
291,78701,30.27438,-97.74925
292,78704,30.24889,-97.76185
293,78729,30.45601,-97.7552
294,78741,30.24509,-97.73328
295,78751,30.32034,-97.72185
296,78703,30.27889,-97.76001
297,78753,30.38216,-97.67033
298,78705,30.29738,-97.73494
299,78746,30.28004,-97.79968
300,78723,30.31371,-97.69227
301,78745,30.20196,-97.79572
302,78702,30.25977,-97.69713
303,78723,30.29757,-97.68266
304,78702,30.25981,-97.7185
305,78704,30.2441,-97.73885
306,78741,30.218309,-97.726532
307,78751,30.30958,-97.72947
308,78704,30.25923,-97.78026
309,78746,30.3209,-97.83023
310,78704,30.25575,-97.76767
311,78704,30.25473,-97.76774
312,78752,30.32398,-97.7161
313,78702,30.27298,-97.71074
314,78701,30.26977,-97.74297
315,78704,30.26269,-97.77509
316,78745,30.20901,-97.76891
317,78702,30.254005,-97.726784
318,78704,30.24467,-97.73792
319,78704,30.25659,-97.75431
320,78702,30.25344,-97.72421
321,78705,30.2989,-97.73169
322,78722,30.28573,-97.72013
323,78705,30.28408,-97.74417
324,78751,30.31193699,-97.70962395
325,78702,30.27498,-97.704
326,78704,30.25084,-97.75562
327,78704,30.24689,-97.75171
328,78757,30.33664,-97.72655
329,78758,30.35706,-97.70871
330,78701,30.27245,-97.74884
331,78704,30.26228,-97.77892
332,78752,30.32983,-97.68575
333,78704,30.24112,-97.77302
334,78723,30.30474,-97.69467
335,78704,30.24554,-97.75536
336,78702,30.25741,-97.73223
337,78705,30.29418,-97.7348
338,78704,30.25473,-97.74363
339,78702,30.25548,-97.73635
340,78701,30.26429,-97.74138
341,78701,30.26632,-97.74129
342,78701,30.26492,-97.74243
343,78704,30.25592,-97.75639
344,78731,30.32702,-97.76043
345,78702,30.27677,-97.7183
346,78745,30.21723,-97.79961
347,78702,30.25766,-97.72323
348,78731,30.32006,-97.75067
349,78704,30.24357,-97.74217
350,78702,30.25635,-97.72405
351,78745,30.22785644,-97.79917151
352,78722,30.29226043,-97.71126718
353,78723,30.29379,-97.68572
354,78704,30.26316,-97.76453
355,78702,30.2525,-97.71672
356,78741,30.2281,-97.72656
357,78757,30.33974,-97.74574
358,78704,30.25974,-97.75369
359,78746,30.31498,-97.80123
360,78735,30.25285,-97.83055
361,78757,30.33892,-97.74536
362,78741,30.21971,-97.72651
363,78704,30.24813,-97.79337
364,78705,30.3,-97.74368
365,78752,30.32674,-97.68213
366,78702,30.26602,-97.73134
367,78744,30.14378087,-97.71586752
368,78703,30.29012,-97.7623
369,78751,30.30247,-97.72771
370,78704,30.24668,-97.75618
371,78757,30.34042,-97.7463
372,78704,30.25039,-97.77751
373,78702,30.26035,-97.7348
374,78704,30.22784,-97.76439
375,78722,30.28602,-97.71552
376,78704,30.25518,-97.76426
377,78752,30.32674,-97.68213
378,78759,30.37038,-97.7458
379,78701,30.26491,-97.74074
380,78702,30.25561,-97.73486
381,78748,30.18933,-97.82398
382,78702,30.28019,-97.71366
383,78702,30.27519,-97.72981
384,78702,30.27119043,-97.70866251
385,78704,30.23853,-97.78621
386,78704,30.24713,-97.76286
387,78704,30.24884,-97.77593
388,78705,30.28761,-97.72626
389,78704,30.23835,-97.75557
390,78704,30.25177,-97.76923
391,78751,30.30285,-97.7278
392,78704,30.25246,-97.74848
393,78735,30.25325831,-97.87701875
394,78731,30.36539,-97.75179
395,78738,30.30779,-97.98466
396,78702,30.25463,-97.7151
397,78704,30.2432,-97.76651
398,78702,30.26868,-97.72182
399,78703,30.29035,-97.75672
400,78746,30.2774,-97.79235
401,78734,30.37567,-97.91709
402,78704,30.25837291,-97.77662101
403,78751,30.30085,-97.72903
404,78704,30.23896,-97.75019
405,78701,30.27094,-97.74783
406,78704,30.25945,-97.77363
407,78704,30.2551,-97.76869
408,78704,30.24736,-97.7448
409,78704,30.24413,-97.77768
410,78704,30.23822,-97.74897
411,78749,30.23127,-97.82364
412,78703,30.27637,-97.75388
413,78746,30.2684,-97.80208
414,78704,30.24124,-97.77896
415,78702,30.25275,-97.72538
416,78702,30.26545,-97.71687
417,78702,30.26674,-97.71776
418,78745,30.22092,-97.78239
419,78704,30.25826,-97.76439
420,78701,30.26582,-97.74074
421,78704,30.25822,-97.7748
422,78722,30.28751,-97.70724
423,78759,30.40348,-97.74316
424,78704,30.25279,-97.77527
425,78701,30.26439,-97.74026
426,78704,30.23881,-97.77685
427,78704,30.25258,-97.76014
428,78702,30.27679,-97.71519
429,78702,30.26015,-97.73241
430,78701,30.27564049,-97.74835968
431,78704,30.2577,-97.7675
432,78703,30.27679,-97.75108
433,78702,30.25995,-97.72878
434,78745,30.20794,-97.79201
435,78704,30.2458,-97.76507
436,78745,30.21065,-97.80815
437,78757,30.3603,-97.72571
438,78703,30.27763,-97.75986
439,78736,30.23749,-97.88265
440,78704,30.22623,-97.76546
441,78704,30.24679,-97.7886
442,78703,30.28793,-97.77076
443,78735,30.23764,-97.80746
444,78703,30.29287,-97.76315
445,78732,30.34736,-97.91259
446,78702,30.2678,-97.73078
447,78702,30.2518,-97.72129
448,78703,30.26975,-97.75081
449,78732,30.3466,-97.87423
450,78723,30.30679,-97.69458
451,78702,30.25408,-97.72073
452,78702,30.27321,-97.728
453,78745,30.21346,-97.81583
454,78721,30.26816,-97.68658
455,78751,30.31923,-97.72173
456,78729,30.46288,-97.78595
457,78702,30.27699,-97.70816
458,78702,30.28092,-97.71169
459,78723,30.31245,-97.69874
460,78703,30.29158,-97.7682
461,78704,30.23974,-97.78969
462,78705,30.29805,-97.73215
463,78703,30.27835,-97.76208
464,78748,30.17146,-97.81726
465,78702,30.25789,-97.72371
466,78703,30.27521,-97.7591
467,78703,30.29234,-97.75876
468,78704,30.25132,-97.75794
469,78704,30.2404,-97.78635
470,78746,30.27611,-97.80369
471,78702,30.25748,-97.72515
472,78704,30.2431,-97.75928
473,78702,30.27248,-97.72275
474,78702,30.26999,-97.72963
475,78722,30.28296,-97.71739
476,78729,30.46514,-97.78487
477,78729,30.46291,-97.78598
478,78702,30.2514,-97.71626
479,78704,30.25703,-97.7676
480,78745,30.20274,-97.81398
481,78704,30.2508,-97.7772
482,78702,30.26245,-97.73316
483,78704,30.24848,-97.75533
484,78702,30.278,-97.70499
485,78702,30.25956,-97.72919
486,78731,30.3499,-97.75049
487,78704,30.24689,-97.75171
488,78722,30.29395,-97.71336
489,78704,30.24572,-97.74816
490,78751,30.30806,-97.71621
491,78746,30.25611,-97.79028
492,78722,30.28887,-97.71731
493,78704,30.24888,-97.77176
494,78746,30.275,-97.84196
495,78759,30.40668,-97.73347
496,78756,30.32401,-97.73312
497,78723,30.29952,-97.67369
498,78703,30.29133,-97.76049
499,78702,30.27435,-97.72533
500,78741,30.2478,-97.73237
501,78702,30.2545,-97.73064
502,78701,30.26594,-97.73963
503,78745,30.21955,-97.79577
504,78702,30.25329,-97.72622
505,78702,30.25737,-97.73121
506,78702,30.2638,-97.71527
507,78759,30.42654,-97.77645
508,78702,30.28088,-97.70491
509,78703,30.29061,-97.77328
510,78701,30.26966,-97.73411
511,78703,30.27267,-97.75517
512,78759,30.41738,-97.7761
513,78748,30.14765,-97.82004
514,78752,30.32674,-97.68213
515,78736,30.24612,-97.9935
516,78704,30.2407,-97.75026
517,78703,30.28301,-97.76009
518,78702,30.26012,-97.70708
519,78752,30.32621,-97.68296
520,78722,30.290487,-97.716774
521,78704,30.23176,-97.76542
522,78704,30.2366,-97.74842
523,78704,30.23963,-97.75795
524,78703,30.27896,-97.76119
525,78702,30.27395,-97.71223
526,78702,30.27314,-97.72693
527,78704,30.23962,-97.74086
528,78702,30.25805,-97.73363
529,78704,30.24326,-97.74856
530,78704,30.22915,-97.74508
531,78731,30.31374,-97.7745
532,78701,30.26833,-97.74806
533,78749,30.20566,-97.83985
534,78703,30.2685,-97.75655
535,78702,30.26384,-97.7188
536,78751,30.30893,-97.73076
537,78722,30.29711,-97.71364
538,78702,30.25466,-97.71991
539,78703,30.2828,-97.76114
540,78721,30.27854,-97.69352
541,78741,30.24197,-97.71564
542,78753,30.36894,-97.68091
543,78749,30.20379,-97.83795
544,78757,30.34465,-97.73308
545,78730,30.38025,-97.82071
546,78703,30.29936,-97.77153
547,78704,30.24693,-97.76921
548,78752,30.33782,-97.7115
549,78704,30.23349,-97.77454
550,78704,30.23721,-97.75909
551,78746,30.25727,-97.79121
552,78734,30.35747,-97.96431
553,78722,30.30148,-97.71123
554,78701,30.26977,-97.73512
555,78745,30.20562,-97.83412
556,78721,30.27886,-97.68553
557,78757,30.3533,-97.73585
558,78731,30.32117,-97.74607
559,78704,30.25786,-97.75266
560,78728,30.4406,-97.67575
561,78702,30.25847,-97.71433
562,78701,30.2646,-97.74159
563,78702,30.25593,-97.72863
564,78704,30.24749,-97.77812
565,78738,30.34072,-97.98523
566,78701,30.27863,-97.74313
567,78704,30.2422,-97.74235
568,78705,30.29925,-97.73819
569,78759,30.38498,-97.75729
570,78748,30.16629,-97.81954
571,78704,30.24202,-97.75405
572,78702,30.26517,-97.71781
573,78741,30.22504,-97.69524
574,78745,30.2081,-97.81342
575,78704,30.23478,-97.78802
576,78703,30.28984,-97.77338
577,78704,30.24243,-97.77869
578,78737,30.21711,-97.99534
579,78705,30.29654,-97.73348
580,78704,30.24271,-97.78152
581,78705,30.2926,-97.74416
582,78703,30.26906,-97.7552
583,78702,30.26391,-97.7169
584,78704,30.23485,-97.76899
585,78752,30.32943,-97.7217
586,78705,30.29669,-97.73507
587,78721,30.28333,-97.68232
588,78741,30.2313,-97.71194
589,78701,30.25798,-97.73882
590,78701,30.2576,-97.74081
591,78722,30.28435,-97.72224
592,78753,30.38645,-97.66244
593,78757,30.34068,-97.71765
594,78723,30.30949,-97.6925
595,78736,30.25272,-97.91113
596,78722,30.28457,-97.71573
597,78702,30.27734,-97.7131
598,78751,30.3086,-97.72577
599,78702,30.2714,-97.71659
600,78702,30.27797,-97.70351
601,78702,30.27856,-97.72146
602,78702,30.26502,-97.70161
603,78723,30.31681,-97.68729
604,78746,30.28626,-97.81032
605,78705,30.29676,-97.74621
606,78703,30.29431,-97.7597
607,78703,30.28341,-97.77617
608,78751,30.3113,-97.73021
609,78705,30.28619,-97.72579
610,78751,30.30513,-97.72406
611,78704,30.25558,-97.75642
612,78731,30.36524,-97.78295
613,78741,30.24093,-97.73383
614,78745,30.2123,-97.76242
615,78752,30.335,-97.71539
616,78723,30.29736,-97.68232
617,78741,30.24041,-97.73206
618,78704,30.24755,-97.75498
619,78704,30.24528,-97.77725
620,78735,30.24327,-97.81764
621,78723,30.29966,-97.70025
622,78751,30.30751,-97.71955
623,78722,30.28794,-97.71784
624,78759,30.42866,-97.77632
625,78734,30.37581,-97.92098
626,78757,30.35497,-97.73553
627,78702,30.26462,-97.71791
628,78705,30.29418,-97.73674
629,78704,30.23583,-97.76868
630,78721,30.26723,-97.68466
631,78722,30.28623,-97.71361
632,78757,30.35908,-97.73071
633,78702,30.2595007,-97.73072214
634,78704,30.24558,-97.78511
635,78704,30.24558,-97.78511
636,78703,30.27407,-97.75546
637,78703,30.27393,-97.75779
638,78702,30.2746,-97.71477
639,78704,30.25536,-97.77633
640,78704,30.25442,-97.75609
641,78702,30.25766,-97.72323
642,78702,30.26969041,-97.69834086
643,78703,30.27404,-97.76131
644,78701,30.26609,-97.74278
645,78704,30.25976,-97.77286
646,78704,30.25912,-97.77453
647,78704,30.24583,-97.76008
648,78704,30.25893,-97.77603
649,78704,30.2589,-97.75918
650,78756,30.3249,-97.73674
651,78703,30.30769,-97.75205
652,78701,30.26669,-97.74085
653,78701,30.2685,-97.7422
654,78723,30.30773,-97.704865
655,78701,30.26820946,-97.74389648
656,78704,30.2461,-97.75117
657,78704,30.23806,-97.78722
658,78704,30.24855,-97.75028
659,78704,30.23888,-97.77393
660,78703,30.27452,-97.75682
661,78704,30.26136,-97.76852
662,78701,30.27014,-97.74169
663,78732,30.41508,-97.89047
664,78704,30.23777,-97.74116
665,78735,30.24017,-97.81782
666,78756,30.31291,-97.74051
667,78703,30.27322,-97.75479
668,78705,30.28903,-97.72792
669,78703,30.28875,-97.7718
670,78701,30.26921,-97.74289
671,78702,30.250532,-97.722946
672,78737,30.18491,-97.94186
673,78702,30.26934,-97.72366
674,78741,30.24538,-97.73281
675,78702,30.2599,-97.73052
676,78704,30.26108,-97.77264
677,78704,30.25976,-97.77286
678,78759,30.40539,-97.75274
679,78751,30.31031,-97.71602
680,78745,30.20956,-97.81898
681,78741,30.24884,-97.7354
682,78704,30.24585,-97.75284
683,78701,30.26857,-97.74219
684,78701,30.26818,-97.74281
685,78701,30.26702195,-97.74087299
686,78704,30.2525,-97.75655
687,78701,30.26784397,-97.74289175
688,78704,30.23866,-97.74815
689,78703,30.27722,-97.75142
690,78704,30.24323,-97.76131
691,78703,30.28365,-97.7605
692,78759,30.3746,-97.75935
693,78702,30.2539,-97.71395
694,78757,30.33356,-97.73679
695,78745,30.20033515,-97.77858544
696,78702,30.25512,-97.73133
697,78722,30.30429,-97.71279
698,78745,30.22915,-97.81252
699,78702,30.26728,-97.7185
700,78737,30.15802,-97.94353
701,78702,30.26581,-97.718
702,78703,30.27824,-97.7539
703,78741,30.24417,-97.73395
704,78759,30.41766,-97.74375
705,78702,30.25669,-97.72892
706,78702,30.25937,-97.69793
707,78703,30.29221,-97.75855
708,78704,30.25346,-97.76915
709,78721,30.27875,-97.69171
710,78745,30.19574,-97.81906
711,78722,30.29864,-97.71233
712,78704,30.24907,-97.75425
713,78704,30.24722,-97.75844
714,78705,30.29835,-97.74318
715,78705,30.29852,-97.73066
716,78704,30.26007,-97.77327
717,78702,30.2587,-97.72906
718,78703,30.28466,-97.75986
719,78701,30.27368,-97.74652
720,78701,30.2748,-97.74722
721,78731,30.31425,-97.74973
722,78702,30.2561,-97.73468
723,78704,30.2554,-97.77212
724,78703,30.29366,-97.77791
725,78705,30.29805,-97.73215
726,78701,30.26635,-97.74229
727,78701,30.26455,-97.74162
728,78702,30.27876,-97.70569
729,78751,30.30479,-97.72234
730,78757,30.34473,-97.73888
731,78751,30.31003,-97.71831
732,78704,30.26149,-97.76949
733,78745,30.22291,-97.77774
734,78741,30.23007,-97.69485
735,78745,30.21302032,-97.79138184
736,78703,30.27822,-97.77252
737,78751,30.31526,-97.71876
738,78736,30.23473,-97.93955
739,78758,30.35498,-97.70966
740,78704,30.2408,-97.75154
741,78704,30.261789,-97.775856
742,78704,30.25261,-97.75446
743,78729,30.44697,-97.75928
744,78704,30.25261,-97.7474
745,78759,30.37433,-97.75867
746,78723,30.29892,-97.70137
747,78704,30.23899,-97.7634
748,78704,30.25979,-97.77298
749,78745,30.22165,-97.79177
750,78741,30.23755,-97.71685
751,78703,30.284311,-97.762657
752,78703,30.27615,-97.76403
753,78748,30.18544,-97.80978
754,78702,30.26075,-97.72568
755,78704,30.23571,-97.76411
756,78721,30.27163,-97.68587
757,78704,30.22392,-97.75439
758,78702,30.256058,-97.726799
759,78733,30.339581,-97.852844
760,78701,30.27912,-97.74591
761,78704,30.23998,-97.7801
762,78702,30.25805,-97.73169
763,78701,30.26785743,-97.74273514
764,78745,30.22099,-97.77479
765,78745,30.192236,-97.791656
766,78701,30.26709535,-97.74064533
767,78701,30.26912,-97.74287
768,78701,30.26702,-97.74265
769,78701,30.26676,-97.74245
770,78703,30.27989,-97.76322
771,78723,30.32094,-97.68543
772,78704,30.25683,-97.77183
773,78703,30.28365,-97.75847
774,78756,30.32313,-97.74235
775,78746,30.25708,-97.79326
776,78704,30.26413,-97.76126
777,78746,30.25941,-97.7898
778,78745,30.20965,-97.76876
779,78745,30.21308,-97.80978
780,78704,30.26063,-97.77304
781,78704,30.25953,-97.75384
782,78757,30.35756,-97.74281
783,78703,30.27364,-97.75875
784,78705,30.28305,-97.74615
785,78756,30.32605,-97.73279
786,78704,30.26426,-97.76188
787,78752,30.32886,-97.71752
788,78704,30.25311,-97.74704
789,78704,30.25311,-97.74906
790,78704,30.24042,-97.78804
791,78751,30.32014,-97.72779
792,78705,30.2971,-97.73246
793,78702,30.28079,-97.71166
794,78757,30.34601,-97.72367
795,78748,30.18354,-97.82885
796,78704,30.25755,-97.74887
797,78748,30.1844,-97.82971
798,78756,30.31125,-97.74759
799,78739,30.1419,-97.85239
800,78702,30.27759,-97.71461
801,78723,30.29909,-97.70703
802,78704,30.23061,-97.7718
803,78756,30.31328,-97.7447
804,78703,30.28335,-97.77218
805,78723,30.2924,-97.69949
806,78724,30.26273,-97.5882
807,78748,30.18363,-97.82749
808,78702,30.27674,-97.71901
809,78704,30.25492,-97.74532
810,78704,30.23816,-97.74086
811,78704,30.25978,-97.7621
812,78745,30.20118,-97.80814
813,78704,30.25494,-97.747
814,78704,30.25355,-97.74624
815,78759,30.4149,-97.73722
816,78728,30.44586,-97.68194
817,78751,30.30787,-97.73347
818,78704,30.23605,-97.74473
819,78704,30.25371,-97.74629
820,78704,30.25387,-97.74663
821,78704,30.25782,-97.78285
822,78728,30.44521,-97.68537
823,78703,30.28351,-97.77023
824,78702,30.26224,-97.734
825,78704,30.25382,-97.74681
826,78704,30.23661,-97.75602
827,78723,30.31706,-97.6831
828,78704,30.24682,-97.75496
829,78703,30.27928913,-97.753251
830,78702,30.25513,-97.73309
831,78704,30.23889,-97.79033
832,78704,30.2616,-97.76557
833,78704,30.25976,-97.77286
834,78704,30.23325,-97.77968
835,78723,30.31633,-97.67856
836,78738,30.31618,-97.9173
837,78746,30.29113,-97.83632
838,78704,30.23387,-97.77898
839,78702,30.2572,-97.73147
840,78757,30.33809,-97.73347
841,78731,30.32853,-97.75754
842,78717,30.49395,-97.79039
843,78723,30.30011,-97.70155
844,78722,30.28746,-97.72103
845,78702,30.25496,-97.70445
846,78734,30.37417,-97.98629
847,78703,30.27428,-97.75514
848,78722,30.28702,-97.71384
849,78702,30.25531,-97.73568
850,78703,30.27894592,-97.75817871
851,78703,30.28161,-97.76093
852,78751,30.31176,-97.72936
853,78702,30.27313,-97.72038
854,78704,30.24956,-97.75663
855,78702,30.26145,-97.7287
856,78741,30.22998,-97.71788
857,78704,30.25221,-97.7655
858,78704,30.2497,-97.74792
859,78741,30.24042,-97.71669
860,78746,30.32694,-97.78069
861,78704,30.2467,-97.73835
862,78738,30.30083,-97.93214
863,78704,30.25269,-97.77414
864,78703,30.30857,-97.75748
865,78704,30.25284,-97.74878
866,78745,30.21039,-97.81143
867,78741,30.22498,-97.69297
868,78704,30.24455,-97.73776
869,78704,30.24141,-97.7475
