id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
i134,Entire home/apt,356,30,35,7/22/2022,0.25,3,268,0,
i135,Entire home/apt,190,3,356,9/4/2023,2.55,2,161,46,
i136,Private room,102,2,231,6/29/2023,1.65,1,275,23,
i137,Entire home/apt,800,1,0,,,1,0,0,
i138,Entire home/apt,625,4,0,,,1,0,0,
i139,Entire home/apt,65,30,40,10/28/2019,0.29,1,326,0,
i140,Entire home/apt,471,2,109,5/1/2023,0.82,1,332,1,
i141,Entire home/apt,83,1,397,8/20/2023,2.84,2,2,66,
i142,Entire home/apt,517,4,33,5/8/2023,0.29,12,80,2,
i143,Entire home/apt,225,5,13,3/14/2019,0.1,1,0,0,
i144,Entire home/apt,224,4,110,8/20/2023,0.79,12,190,16,
i145,Entire home/apt,492,1,104,4/16/2023,0.74,1,107,4,
i146,Entire home/apt,140,1,179,11/6/2022,1.28,15,360,1,
i147,Entire home/apt,2150,4,1,3/17/2014,0.01,1,0,0,
i148,Entire home/apt,160,72,15,8/8/2021,0.11,1,0,0,
i149,Entire home/apt,650,1,0,,,1,0,0,
i150,Entire home/apt,398,4,9,10/24/2022,0.07,1,202,2,
i151,Private room,78,4,115,3/30/2023,0.82,1,15,7,
i152,Entire home/apt,155,1,432,8/13/2023,3.25,1,337,36,
i153,Private room,47,3,52,1/17/2018,0.4,2,0,0,
i154,Entire home/apt,153,30,27,4/9/2022,0.21,1,157,0,
i155,Entire home/apt,695,31,2,5/30/2016,0.01,4,62,0,
i156,Entire home/apt,119,2,288,8/20/2023,2.1,8,125,18,
i157,Private room,82,2,164,2/15/2020,1.19,2,0,0,
i158,Entire home/apt,253,3,103,2/26/2023,0.75,1,160,2,
i159,Entire home/apt,112,2,97,7/30/2023,0.74,1,302,10,
i160,Entire home/apt,599,2,5,10/10/2016,0.04,1,353,0,
i161,Private room,61,30,33,5/12/2023,0.24,3,214,3,
i162,Entire home/apt,149,4,150,5/28/2023,1.28,1,39,25,
i163,Entire home/apt,289,2,102,5/24/2023,1.22,3,327,26,
i164,Entire home/apt,314,2,121,8/13/2023,1.1,1,338,8,
i165,Entire home/apt,250,1,0,,,1,0,0,
i166,Entire home/apt,130,2,184,8/31/2023,1.52,1,90,29,
i167,Entire home/apt,130,3,498,9/1/2023,3.64,1,118,38,
i168,Entire home/apt,124,2,114,7/11/2023,0.85,1,132,15,
i169,Entire home/apt,99,3,530,8/13/2023,3.87,2,12,29,
i170,Entire home/apt,325,28,16,12/3/2022,0.12,1,83,1,
i171,Entire home/apt,255,3,7,3/21/2020,0.05,2,0,0,
i172,Private room,105,2,54,4/30/2023,0.42,1,354,9,
i173,Entire home/apt,450,2,90,4/30/2023,0.68,2,298,3,
i174,Private room,55,30,1,10/7/2013,0.01,1,365,0,
i175,Entire home/apt,100,2,193,12/17/2022,1.44,1,160,7,
i176,Entire home/apt,286,2,92,9/4/2023,0.72,1,10,20,
i177,Entire home/apt,85,30,5,8/31/2019,0.04,1,310,0,
i178,Entire home/apt,191,30,96,8/4/2023,0.73,2,136,3,
i179,Private room,111,2,146,5/30/2023,1.09,1,338,6,
i180,Entire home/apt,110,30,62,8/19/2023,0.46,1,117,4,
i181,Private room,70,2,28,12/9/2019,0.21,1,0,0,
i182,Entire home/apt,50,10,41,8/9/2023,0.31,2,244,7,
i183,Entire home/apt,166,1,670,8/27/2023,5,7,251,64,
i184,Entire home/apt,187,2,435,9/4/2023,3.31,1,109,44,
i185,Entire home/apt,190,3,11,10/14/2019,0.14,1,0,0,
i186,Entire home/apt,786,2,37,6/22/2022,0.29,1,357,0,
i187,Entire home/apt,899,3,1,3/13/2013,0.01,1,365,0,
i188,Entire home/apt,175,2,171,4/2/2023,1.29,1,130,14,
i189,Entire home/apt,160,30,25,7/2/2023,0.19,2,209,2,
i190,Entire home/apt,493,5,2,3/13/2014,0.02,1,0,0,
i191,Private room,82,2,193,7/29/2023,1.49,2,155,8,
i192,Entire home/apt,375,2,16,10/24/2022,0.14,3,353,2,
i193,Private room,100,2,10,5/6/2023,0.09,3,353,2,
i194,Entire home/apt,467,3,116,3/27/2022,0.91,1,0,0,
i195,Entire home/apt,300,2,177,6/19/2023,1.33,1,20,11,
i196,Entire home/apt,821,1,349,5/24/2020,2.61,2,0,0,
i197,Private room,66,1,253,3/13/2020,2.1,2,0,0,
i198,Private room,49,1,417,2/16/2020,3.39,2,1,0,
i199,Entire home/apt,1011,2,37,10/9/2022,0.29,1,348,3,
i200,Entire home/apt,24,2,43,7/10/2023,0.34,17,365,8,
i201,Entire home/apt,1000,2,12,3/19/2018,0.09,8,364,0,
i202,Entire home/apt,275,2,67,2/28/2020,0.52,1,0,0,
i203,Entire home/apt,65,30,64,9/30/2022,0.48,2,253,1,
i204,Entire home/apt,545,2,0,,,1,0,0,
i205,Private room,250,3,0,,,2,0,0,
i206,Entire home/apt,148,3,62,4/30/2023,0.47,3,158,3,
i207,Entire home/apt,400,1,0,,,1,0,0,
i208,Entire home/apt,1250,2,0,,,1,0,0,
i209,Entire home/apt,228,2,142,3/11/2020,1.11,1,0,0,
i210,Private room,300,1,0,,,1,0,0,
i211,Entire home/apt,250,3,254,8/20/2023,1.96,1,267,28,
i212,Entire home/apt,263,2,49,5/14/2023,0.37,1,353,7,
i213,Entire home/apt,325,30,16,7/30/2023,0.13,1,181,1,
i214,Entire home/apt,193,1,866,8/26/2023,6.56,4,293,77,
i215,Entire home/apt,233,5,5,3/7/2016,0.04,1,0,0,
i216,Entire home/apt,1100,1,0,,,1,363,0,
i217,Entire home/apt,89,30,92,6/22/2023,0.7,1,119,3,
i218,Entire home/apt,149,1,265,2/27/2022,2,1,0,0,
i219,Entire home/apt,850,4,0,,,1,0,0,
i220,Entire home/apt,200,2,129,8/21/2023,1.03,1,219,13,
i221,Entire home/apt,250,2,83,3/19/2023,0.65,1,121,1,
i222,Entire home/apt,131,4,102,7/31/2023,0.8,1,286,17,
i223,Private room,57,30,21,10/22/2022,0.16,1,83,1,
i224,Entire home/apt,5343,360,7,3/19/2015,0.05,2,363,0,
i225,Entire home/apt,263,7,48,2/29/2020,0.36,1,0,0,
i226,Private room,33,30,51,10/7/2022,0.4,1,343,1,
i227,Entire home/apt,700,4,8,3/13/2018,0.07,1,0,0,
i228,Entire home/apt,500,3,32,2/28/2023,0.24,2,332,2,
i229,Entire home/apt,657,2,300,8/21/2023,2.27,3,345,19,
i230,Entire home/apt,200,2,39,9/4/2023,2.62,1,347,28,
i231,Entire home/apt,1200,3,0,,,1,0,0,
i232,Entire home/apt,375,3,0,,,1,0,0,
