id,number_of_reviews,last_review,reviews_per_month,number_of_reviews_ltm
650,27,5/7/23,0.3,4
651,138,6/21/20,1.27,0
652,171,8/26/23,1.53,13
653,197,8/19/23,1.75,19
654,7,8/20/23,0.29,1
655,162,8/17/23,1.48,14
656,65,4/2/23,0.74,6
657,1,10/5/15,0.01,0
658,110,7/23/23,1.2,30
659,4,9/28/14,0.04,0
660,299,7/31/23,2.74,30
661,4,6/13/21,0.05,0
662,39,9/2/22,0.37,0
663,284,7/5/21,2.54,0
664,28,11/20/20,0.25,0
665,0,,,0
666,44,8/21/23,0.45,14
667,103,8/6/23,0.94,4
668,43,11/17/19,0.7,0
669,107,4/30/23,1.01,9
670,190,3/17/23,1.7,9
671,558,9/3/23,6.05,47
672,20,6/7/23,0.29,4
673,549,8/14/23,5.2,39
674,11,10/24/22,0.11,1
675,255,8/28/23,2.3,39
676,93,8/13/23,0.86,8
677,97,7/23/23,0.9,12
678,0,,,0
679,19,2/11/23,0.17,3
680,35,1/2/23,0.34,2
681,0,,,0
682,193,8/26/23,1.79,21
683,160,4/14/23,1.43,9
684,214,8/19/23,1.92,18
685,162,7/23/23,1.46,12
686,0,,,0
687,143,6/2/23,1.33,6
688,21,3/18/19,0.2,0
689,42,10/17/22,0.38,1
690,32,8/11/23,0.29,5
691,31,7/31/23,0.29,5
692,3,5/4/23,0.03,2
693,71,3/16/23,0.74,1
694,427,8/13/23,3.95,45
695,1,6/11/23,0.32,1
696,33,3/8/20,0.3,0
697,458,9/2/23,4.21,39
698,2,1/14/23,0.03,1
699,302,8/27/23,2.78,24
700,313,9/5/23,2.88,20
701,528,8/15/23,5.3,57
702,30,4/1/23,0.28,2
703,8,12/3/22,0.07,1
704,0,,,0
705,0,,,0
706,123,1/25/22,1.14,0
707,216,12/12/20,1.96,0
708,49,7/30/23,0.45,3
709,0,,,0
710,1,7/2/16,0.01,0
711,92,7/1/23,0.85,4
712,2,3/19/15,0.02,0
713,62,7/7/23,0.56,8
714,3,3/16/20,0.07,0
715,128,11/12/16,1.18,0
716,0,,,0
717,4,10/24/21,0.04,0
718,2,7/18/15,0.02,0
719,339,9/4/23,3.44,37
720,193,8/6/23,1.86,19
721,184,9/4/23,1.7,26
722,303,8/20/23,2.78,26
723,76,1/2/23,0.73,7
724,22,2/21/22,0.23,0
725,83,5/7/23,0.78,8
726,150,5/18/23,1.38,13
727,238,8/20/23,2.18,23
728,502,8/27/23,4.6,85
729,198,9/4/23,1.89,28
730,15,10/31/20,0.31,0
731,28,3/27/22,0.27,0
732,147,8/2/23,1.44,15
733,246,8/14/23,2.28,20
734,22,6/1/23,0.2,1
735,8,8/9/23,0.08,2
736,123,4/23/23,1.13,7
737,0,,,0
738,16,12/18/17,0.15,0
739,63,8/23/23,0.59,4
740,15,2/18/19,0.18,0
741,14,6/1/22,0.13,0
742,0,,,0
743,46,4/29/23,0.43,1
744,0,,,0
745,0,,,0
746,48,9/25/17,0.45,0
747,59,3/18/23,0.54,3
748,1,7/9/18,0.02,0
749,0,,,0
750,1,7/25/15,0.01,0
751,144,8/19/23,1.37,5
752,0,,,0
753,2,7/4/16,0.02,0
754,38,9/30/18,0.35,0
755,0,,,0
756,103,6/19/23,0.95,14
757,70,4/30/23,0.64,5
758,349,9/9/23,3.22,37
759,98,8/13/23,0.95,10
760,711,8/27/23,7.02,73
761,19,11/14/21,0.17,0
762,386,9/7/23,3.57,66
763,187,8/22/23,1.72,26
764,280,9/1/23,2.59,47
765,7,3/19/23,0.52,6
766,181,8/27/23,1.69,22
767,228,7/24/23,2.09,14
768,169,8/13/23,1.56,10
769,139,9/3/23,1.28,7
770,90,6/4/23,0.84,9
771,434,8/24/23,4,48
772,1,10/25/21,0.04,0
773,0,,,0
774,80,8/30/23,0.74,12
775,0,,,0
776,7,10/4/16,0.06,0
777,0,,,0
778,10,5/8/23,0.09,7
779,33,5/2/23,0.31,5
780,39,3/19/23,0.38,3
781,18,3/23/23,0.17,3
782,412,1/25/23,3.79,9
783,0,,,0
784,1,3/22/15,0.01,0
785,235,7/24/23,2.17,11
786,2,10/10/16,0.02,0
787,0,,,0
788,0,,,0
789,0,,,0
790,0,,,0
791,0,,,0
792,6,5/27/18,0.06,0
793,381,9/4/23,5.26,72
794,17,7/5/16,0.16,0
795,66,8/19/23,0.63,3
796,1,3/17/16,0.01,0
797,48,3/13/23,0.46,3
798,381,8/6/23,3.51,33
799,0,,,0
800,15,3/20/22,0.14,0
801,0,,,0
802,0,,,0
803,25,5/15/18,0.23,0
804,1,12/31/16,0.01,0
805,53,7/22/22,0.58,0
806,62,9/9/23,1.45,10
807,63,6/16/23,0.59,1
808,354,9/4/23,3.28,25
809,1,8/13/15,0.01,0
810,1,3/17/16,0.01,0
811,0,,,0
812,1,3/20/15,0.01,0
813,71,5/30/22,0.66,0
814,35,3/28/21,0.32,0
815,8,8/27/18,0.07,0
816,9,7/3/23,0.09,3
817,0,,,0
818,215,6/17/23,2.04,21
819,73,6/9/22,0.68,0
820,66,9/13/22,0.62,1
821,81,10/24/21,0.75,0
822,18,4/16/23,0.18,4
823,0,,,0
824,4,11/28/17,0.04,0
825,31,5/1/23,0.3,1
826,10,5/28/17,0.09,0
827,3,5/23/15,0.03,0
828,131,7/14/18,1.26,0
829,12,1/19/22,0.12,0
830,41,8/8/21,0.4,0
831,13,10/8/17,0.13,0
832,5,10/25/21,0.05,0
833,79,7/31/23,0.79,12
834,193,8/20/19,1.83,0
835,0,,,0
836,7,9/23/16,0.07,0
837,0,,,0
838,62,4/9/20,0.58,0
839,81,8/6/23,0.79,13
840,11,5/29/23,0.17,2
841,40,8/13/23,0.38,10
842,19,1/6/23,0.19,1
843,71,3/28/17,0.68,0
844,154,9/2/23,1.56,22
845,129,11/12/17,1.22,0
846,2,7/14/16,0.02,0
847,3,10/13/15,0.03,0
848,29,9/3/23,0.28,24
849,269,6/25/23,2.56,16
850,13,3/15/23,0.14,2
851,73,5/28/23,0.71,10
852,261,8/12/23,2.51,17
853,221,8/15/23,2.13,33
854,32,5/21/18,0.32,0
855,303,5/30/23,2.91,14
856,0,,,0
857,0,,,0
858,96,6/12/23,0.93,11
859,0,,,0
860,20,8/26/19,0.19,0
861,16,8/23/23,0.21,2
862,0,,,0
863,50,8/18/23,0.48,1
864,687,6/27/23,6.54,69
865,10,4/17/16,0.11,0
866,9,8/13/23,0.09,3
867,339,9/4/23,3.28,30
868,295,9/2/23,2.83,25
869,42,8/23/23,0.4,3
870,0,,,0
871,0,,,0
872,199,8/21/23,1.89,16
873,8,3/14/17,0.08,0
874,258,8/27/21,2.49,0
875,984,9/4/23,9.37,93
876,3,10/17/22,0.04,2
877,0,,,0
878,59,9/4/23,0.8,23
879,147,5/11/23,1.4,12
880,22,12/27/17,0.25,0
881,14,10/25/22,0.14,1
882,459,9/5/23,4.4,58
883,283,9/4/23,2.74,33
884,4,3/20/16,0.04,0
885,148,3/14/20,1.4,0
886,157,8/23/23,1.51,24
887,0,,,0
888,1,3/17/15,0.01,0
889,93,9/4/23,1.7,19
890,0,,,0
891,14,5/8/17,0.15,0
892,15,3/29/19,0.18,0
893,1,3/17/16,0.01,0
894,629,8/20/23,6.03,70
895,0,,,0
896,44,7/24/23,0.5,2
897,237,6/30/23,2.29,7
898,1,3/9/18,0.01,0
899,17,3/13/23,0.16,1
900,844,8/24/23,8.08,81
901,0,,,0
902,266,5/7/23,2.58,22
903,68,6/6/19,0.66,0
904,2,10/19/15,0.02,0
905,0,,,0
906,4,9/14/20,0.04,0
907,0,,,0
908,63,7/3/22,2.24,0
909,12,10/7/18,0.12,0
910,0,,,0
911,0,,,0
912,0,,,0
913,0,,,0
914,14,7/11/21,0.14,0
915,508,8/19/23,4.92,57
916,1,3/17/15,0.01,0
917,1,3/18/15,0.01,0
918,0,,,0
919,0,,,0
920,3,3/23/16,0.03,0
921,41,7/30/23,0.41,8
922,2,11/30/22,0.15,1
923,236,9/4/23,2.28,18
924,47,8/13/23,2.53,26
925,1,3/19/17,0.01,0
926,0,,,0
927,79,8/13/23,0.78,18
928,4,3/17/18,0.04,0
929,0,,,0
930,2,3/17/15,0.02,0
931,2,6/30/15,0.02,0
932,2,9/12/22,0.02,1
933,3,10/24/22,0.03,1
934,161,7/31/23,1.76,17
935,0,,,0
936,0,,,0
937,123,3/2/20,1.18,0
938,123,8/6/23,1.19,11
939,15,11/1/15,0.15,0
940,2,3/18/15,0.02,0
941,1,3/21/15,0.01,0
942,0,,,0
943,13,10/25/21,0.17,0
944,0,,,0
945,1,3/23/15,0.01,0
946,1,3/18/15,0.01,0
947,3,5/5/18,0.03,0
948,0,,,0
949,0,,,0
